Tarih,CPI_yoy_pct,USD_TRY_tcmb,EUR_TRY_tcmb
2013-01-01,7.30765422,1.77236818,2.35265909
2013-02-01,7.0254037,1.776035,2.37709
2013-03-01,7.29064522,1.81045714,2.34904286
2013-04-01,6.13378411,1.79969048,2.33973333
2013-05-01,6.51468951,1.82605,2.3709
2013-06-01,8.29751905,1.897915,2.503145
2013-07-01,8.884429,1.93396522,2.5285087
2013-08-01,8.16823249,1.95822105,2.60651579
2013-09-01,7.88243797,2.02078571,2.69502381
2013-10-01,7.71193649,1.99388333,2.71806667
2013-11-01,7.31569532,2.0254,2.73401429
2013-12-01,7.4004596,2.06153182,2.82309091
2014-01-01,7.75122266,2.22084545,3.02697273
2014-02-01,7.88904733,2.216745,3.02485
2014-03-01,8.38550473,2.22178571,3.0713
2014-04-01,9.38339022,2.13129524,2.94354762
2014-05-01,9.65601854,2.094565,2.87965
2014-06-01,9.16347238,2.1195381,2.88092857
2014-07-01,9.31936702,2.12249,2.88161
2014-08-01,9.53602448,2.1621619,2.88203333
2014-09-01,8.85623688,2.20755909,2.85527273
2014-10-01,8.96288497,2.262385,2.86933
2014-11-01,9.1507282,2.2376,2.792205
2014-12-01,8.16994891,2.29178261,2.82678696
2015-01-01,7.24072964,2.3325381,2.72110952
2015-02-01,7.54668713,2.45964,2.794905
2015-03-01,7.61025382,2.5885,2.8097
2015-04-01,7.9128011,2.65292857,2.8585381
2015-05-01,8.09298856,2.65091053,2.96043158
2015-06-01,7.20452762,2.70601818,3.03216818
2015-07-01,6.81416293,2.69945455,2.97633636
2015-08-01,7.14050945,2.85068095,3.17291905
2015-09-01,7.9469927,3.00812,3.380985
2015-10-01,7.58143093,2.93485714,3.30455238
2015-11-01,8.10224259,2.87647143,3.09498571
2015-12-01,8.80833199,2.92247826,3.17539565
2016-01-01,9.57875824,3.012365,3.272805
2016-02-01,8.7773549,2.94595714,3.26867143
2016-03-01,7.4599381,2.89694348,3.21212174
2016-04-01,6.56540345,2.83984762,3.21920952
2016-05-01,6.58232701,2.93185714,3.32070476
2016-06-01,7.63747062,2.92223636,3.28326364
2016-07-01,8.79340879,2.96287778,3.27686111
2016-08-01,8.04509548,2.9682,3.32673636
2016-09-01,7.28212535,2.96542222,3.32248333
2016-10-01,7.15943114,3.07349048,3.39274286
2016-11-01,7.00052048,3.27332273,3.54075455
2016-12-01,8.53305632,3.49522273,3.68790909
2017-01-01,9.21877277,3.74161364,3.97263182
2017-02-01,10.12828923,3.678985,3.918035
2017-03-01,11.29179276,3.67254783,3.92282609
2017-04-01,11.8696187,3.6604,3.917155
2017-05-01,11.72217826,3.57027143,3.93946667
2017-06-01,10.90108474,3.52534,3.955775
2017-07-01,9.78837851,3.56628095,4.09880476
2017-08-01,10.67930153,3.51568696,4.15105652
